Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Авицкий|Владимир|Дмитриевич|Комбат 14 стр. полка|Прик.РВСР № 545|1920 г.|Орден Красного Знамени
Авксентьевский|Константин|Алексеевич|Командующий 6 армией|Прик.РВСР № 529|1920 г.|Орден Красного Знамени
Авраменко|Илларион||Разведчик 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Авров|Сергей|Яковлевич|Комполка 7 Турк. стрелкового|Прик.РВСР № 50|1923 г.|Орден Красного Знамени
Агальцев|Сергей|Ильич|Пом. комроты 109 стр. полка|Прик.РВСР № 212|1920 г.|Орден Красного Знамени
Агапитов|Семен|Семенович|Красноармеец 3 батареи|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Агапов|Гавриил||Комбат 144 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Агапов|Дмитрий||Помкомвзвода 480 стр. полка|Прик.РВСР № 531|1920 г.|Орден Красного Знамени
Агапов|Петр|Афанасьевич|Красноармеец 9 кав. полка|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Агапов Кошевой|Петр|Ильич|Красноармеец кав. полка 8 див.|Прик.РВСР № 3|1922 г.|Орден Красного Знамени
Агарков|Михаил||Красноармеец штаба 6 кав. див.|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Агатонович|Борявой|Веселинович|Комбриг 2 – 8 стр. див.|Прик.РВСР № 309|1919 г.|Орден Красного Знамени
Агафонов|Александр||Наводчик 1 легартдива 7 стр. дивизии|Прик.РВСР № 4|1921 г.|Орден Красного Знамени
Агафонов|Георгий|Павлович|Пом н-ка пулем ком. 5 Амурск. стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Агафонов|Григорий|Селиванович|Красноармеец 140 стр. полка|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Агафонов|Дмитрий|Михайлович|Красноармеец 46 стр. полка|Прик.РВСР № 8|1921 г.|Орден Красного Знамени
Агафонов|Николай|Иванович|Ком отделения 3 креп. полка отд. креп. Урал. бригады|Прик.РВСР № 126|1920 г.|Орден Красного Знамени
Агафоров|Константин|Игнатьевич|Красноармеец 124 кав полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Агафьев|Алексей|Егорович|Начкоманды пеш разведчиков 478 стр. полка|Прик.РВСР № 531|1920 г.|Орден Красного Знамени
Агеев|Андрей|Александрович|Секретарь комиссара 7-х Борисогл. кав. команд. курсов|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Агеев|Георгий|Николаевич|Комвзвод 22 кавполка|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Агеев|Павел|Григорьевич|Курсант 7 стр. дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Агеенко|Евгений|Федорович|Ком. батальона 74 стр. полка|Прик.РВСР № 502|1920 г.|Орден Красного Знамени
Агеенко|Иосиф||К-р батареи 2 арт. див|Прик.РВСР № 342|1919 г.|Орден Красного Знамени
Агишевский|Георгий|Павлович|Красвоенлет 3 авиоотряда|Прик.РВСР № 152|1920 г.|Орден Красного Знамени
Аглаев|Яков||Разведчик 96 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Агуленко|Дмитрий|Кузьмич|Красноармеец 9 полка|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Агуреев|Николай|Васильевич|К-р 143 стр. полка|Прик.РВСР № 580|1920 г.|Орден Красного Знамени
Агушевич|Самуил|Лейбович|Начпульком 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Адальшин|Сингот||Красноармеец 15 Оренбург кав. полка|Прик.РВСР № 100|1921 г.|Орден Красного Знамени
Адамантис|Станислав|Казимирович|Командир батальона 238 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Адаменко|Василий||Красноармеец 145 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Адамов|Гавриил|Степанович|Курсант 7 стр дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Адамский|Тихон|Дмитриевич|К-р 3 эск Гонгот кав полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Адамсон|Ян|Симонович|Ком. 3 лат. полка|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Адинаев|||Член РВС в.Хорезма|Прик.РВСР № 135|192-1 г.|Орден Красного Знамени
Адинев|Василий|Герасимович|Красноармеец 42 кавиолка 4 кав дивизик|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Адинев|Иван|Дмитриевич|Красноармеец 42 кавполка 4 кав. дивизии.|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Админ|Эдгар|Янович|Ком. 151 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Адоминас|Игнатий||Помвоенком полка 96 отд.|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Адылов|Мухамет|Васильевич|Воен. ком. бригады 8 кав|Прик.РВСР № 216|1922 г.|Орден Красного Знамени
Азаренко|Тимофей||Пулемётчик бронепоезда № 89 им. т. Троцкого|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Азаров|Лука||Курсант 3 св. полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Азин|Владимир|Михайлович|Начдив 2 сводн. пех.|Прик.РВСР № 12|1919 г.|Орден Красного Знамени
Аитов|Зрубайдулла||Политрук 28 кавполка|Прик.РВСР № 380|1925 г.|Орден Красного Знамени
Айнонен|Матвей|Антонович|Красноармеец 165 стр полка|Прик.РВСР № 293|1920 г.|Орден Красного Знамени
Акатов|Борис|Николаевич|Помком 30 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Акатов|Борис|Николаевич|Помком 30 кавполка|Прик.РВСР № 135|1924 г.|Орден Красного Знамени
Акатов|Михаил|Павлович|Командир роты 296 стр полка|Прик.РВСР № 80|1921 г.|Орден Красного Знамени
Акачев|Андриан||Старш 139 долка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Акимкин|Андриан|Емельянович|Красноармеец 132 стр. полка|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Акимов|||Отделен. командир 4 Туркест. кав. полка|Прик.РВСР № 330|1924 г.|Орден Красного Знамени
Акимов|Андрей|Иванович|Б. пом. ком. полка 52 стр.|Прик.РВСР № 293|1920 г.|Орден Красного Знамени
Акимов|Демьян||Красноармеец 1 Заволжск. стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Акимов|Иван|Михайлович|Отделен. командир 124 кав. полка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Акимов|Матвей|Иванович|Комвзвод 32 бат. ГПУ|Прик.РВСР № 182|1922 г.|Орден Красного Знамени
Акимов|Михаил|Акимович|Помкомиссара 71 стр. полка|Прик.РВСР № 591|1920 г.|Орден Красного Знамени
Акимов|П|И|Красноармеец 240 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Акимов|Тимофей|Федорович|Красноармеец 3 кавполка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Акимов|Яков|Тимофеевич|Красноармеец 456 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Акиндинов|Иван|Иванович|Ком. 1 роты 18 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Аккуратов|Федор|Семенович|Пом. ком. бат. учеб. полка 11 див.|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Аксенов|Андрей|Михайлович|Комиссар 50-й бригады 17 стр. див.|Прик.РВСР № 585|1920 г.|Орден Красного Знамени
Аксенов|Василий||Комвзвода 3 св. полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Аксенов|Гавриил|Иванович|Помкомполка 453|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Аксенов (Прилуцкий)|Евгений|Александрович|Комбат 104 отд. войск ГПУ УКРВО|Прик.РВСР № 150|1923 г.|Орден Красного Знамени
Аксенов|Е|А|Комполка 1 отдельного Харьковского|Прик.РВСР № 2|1923 г.|Орден Красного Знамени
Аксенов|Ефрем|Ильич|Комбригады 3 - 25 стр. дивизии.|Прик.РВСР № 260|1920 г.|Орден Красного Знамени
Аксенов|Иван||Отд. ком. сапроты 31 бригады|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Аксенов|Иван|Тимофеевич|Отд. командир сапроты 31 стр. дивизии|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Аксенов|Иван|Федорович|Пулемет. 184 полка|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Аксенов|Максим||Командир роты 1 стр. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Аксенов|Максим|Яковлевич|Комвзвода 154 стр. полка|Прик.РВСР № 144|1920 г.|Орден Красного Знамени
Аксенов|Павел|Игнатьевич|Красноармеец кав. полка 2 Донск. стр. див.|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Аксютенко|Федор||Курсант 2 полка отдельной св. бригады курсантов.|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Акуленко|Николай|Иванович|Комвзвода 153 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Акулин|Митрофан|Алексеевич|Комвзвод 44 стр. полка|Прик.РВСР № 160|1922 г.|Орден Красного Знамени
Акулов|Николай|Аристархович|Пулеметч. 452 полка|Прик.РВСР № 459|1920 г.|Орден Красного Знамени
Акулов|Филипп|Егорович|Комбригады 1 кав. 29 стр. дивизии.|Прик.РВСР № 71|1919 г.|Орден Красного Знамени
Акунапу|Христкай||Разведчик 83 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Акчурин|Мус|Салик|Комотделения отр. 00 24 дивиз.|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Акучин|Петр|Николаевич|Отд. ком. 75 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Алайнис|Эмиль|Карлович|Комиссар 95 стр. полка|Прик.РВСР № 241|1920 г.|Орден Красного Знамени
Алайнис|Эмиль|Карлович||Прик.РВСР № 580|1920 г.|Орден Красного Знамени
Алаковский|Василий|Прокофьевич|Красноармеец 65 кав. полка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Алаухов|Николай|Степанович|Вр.и.д. комбригады 2 — 4 кав. дивизии|Прик.РВСР № 370|1920 г.|Орден Красного Знамени
Албаев|Илья|Матвеевич|Командир комендантского эскадрона особой кав. бригады 1-й конной армии|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Албицкий|Василий|Венедиктович|Курсант 7 стр. див. школы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Албянская|Мария||Сестра милосердия|Прик.РВСР № 62|1924 г.|Орден Красного Знамени
Алдайкин|Владимир||Красноармеец 228 стр. Карельского полка|Прик.РВСР № 101|1920 г.|Орден Красного Знамени
Алдонин|Михаил|Егорович|Красноармеец 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Алейников|Федор|Алексеевич|Фельдшер штаба Крымской армии|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Александренко|Евдоким||Красноармеец 4 эскадр. 19 кав. полка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Александров|||Начальник Штаба войск Амур-Дарьинской обл.|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Александров|||Комвзвод школы 33 стр. бригады|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Александров|Александр||Разведчик 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Александров|Александр|Александрович|Красноармеец 187 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Александров|Валентин||Комиссар бронемашины Гарфорд 53 АБО|Прик.РВСР № 50|1921 г.|Орден Красного Знамени
Александров|Василий|Алексеевич|Ком. 47 стр. полка 6 стр. дивизии|Прик.РВСР № 135|1924 г.|Орден Красного Знамени
Александров|Василий|Дмитриевич|Комбат учебн. полка 11 стр. дивизии.|Прик.РВСР № 133|1921 г.|Орден Красного Знамени
Александров|Василий|Павлович|Воен. Ком. бригад. 18 стр.|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Александров|Владимир||Воснкомполка 296 стр.|Прик.РВСР № 94|1922 г.|Орден Красного Знамени
Александров|Даниил|Александрович|Телеграф. батальона связи Шта-запа.|Прик.РВСР № 267|1921 г.|Орден Красного Знамени
Александров|Дмитрий||Отд. ком. 208 стр. полка|Прик.РВСР № 68|1920 г.|Орден Красного Знамени
Александров|Егор|Александрович|Отд. ком. 49 стр. полка|Прик.РВСР № 59|1921 г.|Орден Красного Знамени
Александров|Иосиф||Начпулемета 71 стр. полк.|Прик.РВСР № 594|1920 г.|Орден Красного Знамени
Александров|Михаил|Алексеевич|Красноармеец 21 кав. полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Александров|Михаил|Васильевич|Ком. взвода 72 стр. полка 8 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Александров|Михаил|Сергеевич|Красноармеец Загр. Отд. 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Александров|Николай|Васильевич|Пом. команд. 161 стр. полк. 18 стр. дивизии.|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Александров|Павел|Иванович|Б. комбригады 9 стр.|Прик.РВСР № 171|1922 г.|Орден Красного Знамени
Александров|Федор|Васильевич|Отд. к-р кав. полка 4 стр. дивизии.|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
