Фамилия|Имя|Отчество|Должность|Приказ|Год|РодНаграды
Дитковский|С.|И.|Начарт борта бронепоезда № 89|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Диц|Константин|Петрович|Красноармеец 190 стр. полка|Прик.РВСР № 143|1922 г.|Орден Красного Знамени
Дмин|Василий||Комвзвод 137 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дмитренко|Варфоломей|Иванович|Комбриг отдельной кавалерийской Тамбовской|Прик.РВСР № 224|1921 г.|Орден Красного Знамени
Дмитренко|Варфоломей|Иванович|Командир сводного кав. полка сводной группы т. Какурина|Прик.РВСР № 80|1923 г.|Вторичное награждение
Дмитренко|Варфоломей|Иванович|Командир сводного кав. полка сводной группы т. Какурина|Прик.РВСР № 99|1923 г.|Вторичное награждение
Дмитриев|||Политрук 265 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дмитриев|||Наблюдатель 3 артдивизиона|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дмитриев|Александр||Полит. команды пеших разведчиков 185 Шуйского стр. полка|Прик.РВСР № 151|1922 г.|Орден Красного Знамени
Дмитриев|Александр||Артиллерист бронепоезда № 60|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Дмитриев|Александр||Красноармеец 8 батареи 3 легартдива 3 стр. дивизии|Прик.РВСР № 229|1922 г.|Орден Красного Знамени
Дмитриев|Александр|Александрович|Политрук дившколы 11 стр. дивизии|Прик.РВСР № 133|1920 г.|Орден Красного Знамени
Дмитриев|Александр|Иванович|Начпульком 3 батал. 239 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дмитриев|Александр|Иванович|Пулеметчик 184 полка|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Дмитриев|Анатолий|Иванович|Комвзвод 7 пограничного стр. полка|Прик.РВСР № 355|1919 г.|Орден Красного Знамени
Дмитриев|Василий||Красноармеец 3 сводного полка|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Дмитриев|Г.|А.|Командир взвода 302 полка|Прик.РВСР № 736|1925 г.|Орден Красного Знамени
Дмитриев|Дмитрий|Сергеевич|Комбригады 2 – 12 стр. дивизии|Прик.РВСР № 192|1923 г.|Орден Красного Знамени
Дмитриев|Е.|А.|Уполномоченный 3 бат. 240 стр. полка|Прик.РВСР № 93|1921 г.|Орден Красного Знамени
Дмитриев|Иван|Алексеевич|Помощник начальника пул. команды 43 стр. полка|Прик.РВСР № 159|1922 г.|Орден Красного Знамени
Дмитриев|Иван|Иванович|Артиллерист 15 бронепоезда|Прик.РВСР № 342|1920 г.|Орден Красного Знамени
Дмитриев|Иван|Карпович|Комбат 272 стр. полка|Прик.РВСР № 143|1922 г.|Орден Красного Знамени
Дмитриев|Иван|Матвеевич|Комвзвод 238 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дмитриев|Игнат|Осипович|Красноармеец 132 стр. полка|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Дмитриев|Леонид||Красноармеец бат. особого назначения 18 милиционной бригады|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Дмитриев|Николай|Иванович|Комбриг 166 стрелковой|Прик.РВСР № 213|1922 г.|Орден Красного Знамени
Дмитриев|Павел|Дмитриевич|Комбат 54 стр. полка|Прик.РВСР № 8|1921 г.|Орден Красного Знамени
Дмитриев|Павел|Дмитриевич|Помадъютанта 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дмитриев|Павел|Федорович|Красноармеец пулеметной команды 89 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Дмитриев|Прохор|Егорович|Разведчик 94 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дмитриев|Сергей|Илларионович|Начальник штаба 2 бригады 5 кав. дивизии|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дмитриев|Сергей|Миронович|Комвзвода 178 стр. полка|Прик.РВСР № 141|1922 г.|Орден Красного Знамени
Дмитриев|Степан|Дмитриевич|Вр. комполка 532 стрелкового|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Дмитриев|Федор|Дмитриевич|Пом. комиссара арт. 28 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дмитриев.|Дмитрий|Дмитриевич|Зав. разведкой 95 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дмитров|Василий|Иванович|Красноармеец батареи|Прик.РВСР № 180|1925 г.|Орден Красного Знамени
Дмитров|Федор||Красноармеец 202 полка|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Добренко|Константин|Семенович|Б. комбриг 40 – 14 стр. дивизии|Прик.РВСР № 267|1921 г.|Орден Красного Знамени
Добржинский|Игнатий|Игнатьевич||Прик.РВСР № 163|1921 г.|Орден Красного Знамени
Добров|Григорий||Красноармеец Кронштадтского отдельного стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Добровольский|Виктор|Николаевич|Командир роты 5 Амурского стр. полка|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Добровольский|Виктор|Петрович|Командир 159 бригады 53 пограничной дивизии|Прик.РВСР № 531|1920 г.|Орден Красного Знамени
Добровольский|Константин|Никифорович|Начальник связи 34 стр. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Добромыслов|||Красноармеец 4 Туркестанского кав. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Доброхотов|Виктор|Иванович|Отделком 169 полка|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Добрышевский|Петр||Вр.и.д. командира бронепоезда|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Добряков|Алексей|Васильевич|Б. помкомвзвода инструк. полковой школы 64 стр. полка|Прик.РВСР № 194|1919 г.|Орден Красного Знамени
Добряков|Владимир|Сергеевич|Комбат 6 полка|Прик.РВСР № 438|1920 г.|Орден Красного Знамени
Добыкин|Дмитрий|Михайлович|Комроты связи 27 стр. бригады|Прик.РВСР № 502|1920 г.|Орден Красного Знамени
Добычин|Павел|Иванович|Комроты 128 стр. полка|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Доволь|Степан|Филимонович|Старшина арт. 32 автоброневого отряда 4 кавдивизии|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дога|Евстафий|Митрофанович|Казак 2 сотни 1 червонного казачества полка 1 Запорожской дивизии|Прик.РВСР № 43|1924 г.|Орден Красного Знамени
Доданов|Георгий||Пулеметчик бронепоезда № 121|Прик.РВСР № 50|1923 г.|Орден Красного Знамени
Додов|Сергей||Красноармеец 38 кавполка|Прик.РВСР № 329|1919 г.|Орден Красного Знамени
Додонов|Николай||Боец-коммунар отряда коммунаров высшей партшколы Кронштадтского политотдела|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Докайя|||Красноармеец 57 кавполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Докторов|Александр|Андреевич|Курсант Военно-Политических курсов 11 кавдивизии|Прик.РВСР № 200|1923 г.|Орден Красного Знамени
Докука|Михаил|Ильич|Командир 3 роты 17 стр. полка|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Докукин|||Вр.и.д. командира 3 батальона 149 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Докунин|Константин|Кузьмич|Наводчик бронепоезда № 89|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Докучаев|Иван||Сотрудник Вятской губернской ЧК|Прик.РВСР № 30|1922 г.|Орден Красного Знамени
Дол|Александр||Старшина 139 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Долбилов|Яков|Константинович|Комвзвода отдельного эскадрона ОО 3 армии|Прик.РВСР № 44|1921 г.|Орден Красного Знамени
Долбна|Антон|Филиппович|Красноармеец бронепоезда № 89|Прик.РВСР № 11|1922 г.|Орден Красного Знамени
Долгалев|Афанасий||Н-к пулькоманды 256 стр. полка|Прик.РВСР № 155|1920 г.|Орден Красного Знамени
Долгат|Магомет|(Далгат)|Красный партизан Дагестана|Прик.РВСР № 76|1923 г.|Орден Красного Знамени
Долгий|Василий||Командир взвода 14 заградительн. отряда|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Долгин|Михаил|Алексеевич|Боец Царевского отряда ЧОН|Прик.РВСР № 17|1923 г.|Орден Красного Знамени
Долгих|Александр|Михайлович|Политрук 270 стр. полка|Прик.РВСР № 12|1922 г.|Орден Красного Знамени
Долгих|Иван|Иванович|Начальник Истребительного отряда|Прик.РВСР № 107|1925 г.|Орден Красного Знамени
Долгих|Семен|Григорьевич|Помкомвзвода 454 полка|Прик.РВСР № 92|1923 г.|Орден Красного Знамени
Долгов|||Помкомвзвода 2 артдива|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Долгов|Виктор|Евграфович|Командир 245 стр. полка|Прик.РВСР № 157|1923 г.|Орден Красного Знамени
Долгов|Евдоким|Федорович|Комвзвод 16 Туркестанского стр. полка|Прик.РВСР № 2|1923 г.|Орден Красного Знамени
Долгов|Михаил|Алексеевич|Отд. ком. 188 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Долгов|Николай|Иванович|Военком 2 бат. 2 стр. полка войск б. ВЧК|Прик.РВСР № 80|1923 г.|Орден Красного Знамени
Долгов|Яков||Красноармеец 147 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Долгополов|Игнат|Григорьевич|Командир 34 кавполка 6 кав. дивизии|Прик.РВСР № 190|1921 г.|Орден Красного Знамени
Долгополов|Мина|Иванович|Артиллерист бронепоезда № 89|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Долгополов|Павел||Комвзвод 78 стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Долгополов|Семен||Красноармеец 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Долгополов|Федор|Васильевич|Пулеметчик 239 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Долгополов|Федор|Семенович|Б. командир 236 стр. полка|Прик.РВСР № 230|1922 г.|Орден Красного Знамени
Долгополов|Яков||Красноармеец 2 эскадрона 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Долгоруков|Борис||Красноармеец 1 Заволжского стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Долгоруков|Константин||Курсант дившколы 2 Приамурской стр. дивизии|Прик.РВСР № 156|1923 г.|Орден Красного Знамени
Долженков|Алексей|Павлович|Начальник команды пеших разведчиков 2 стр. полка ВЧК|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Долженков|Григорий|Васильевич|Комроты 92 стр. полка|Прик.РВСР № 76|1920 г.|Орден Красного Знамени
Должников|Степан|Андреевич|Красноармеец 1 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Долинов|Иван|Семенович|Пулеметчик бронепоезда № 60|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Долматов|Георгий|Тимофеевич|Комвзвода 4 ОН эскадрона|Прик.РВСР № 89|1923 г.|Орден Красного Знамени
Долматов|Модест||Красноармеец 2 полка отдельной сводной бригады курсантов|Прик.РВСР № 44|1922 г.|Орден Красного Знамени
Долматов|Николай||Комвзвод 5 роты 82 стр. полка|Прик.РВСР № 208|1920 г.|Орден Красного Знамени
Доман|Вячеслав|Эдуардович|Пулеметчик|Прик.РВСР № 97|1923 г.|Орден Красного Знамени
Домашев|Иван|Федорович|Отделком 2 отдельного рабочего батальона 1 отдельной рабочей бригады|Прик.РВСР № 598|1920 г.|Орден Красного Знамени
Домесик|Хан||Красноармеец 35 стр. полка|Прик.РВСР № 158|1920 г.|Орден Красного Знамени
Доминиковский|Михаил|Федорович|Вр. комштаба флотилии Северо-Двинской|Прик.РВСР № 25|1920 г.|Орден Красного Знамени
Доминков|Иван|Иванович|Красноармеец 1 кавполка 14 бригады|Прик.РВСР № 183|1922 г.|Орден Красного Знамени
Домино|Августин||Пулеметчик 228 Карельского стр. полка|Прик.РВСР № 101|1920 г.|Орден Красного Знамени
Домнич|Иван|Нестерович|Командир 7 кавполка|Прик.РВСР № 157|1920 г.|Орден Красного Знамени
Домолазов|Степан|Васильевич|Командир 39 стр. полка|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Домолазов|Степан|Васильевич|Командир 39 стр. полка|Прик.РВСР № 63|1925 г.|Вторичное награждение
Домручев|||Пулеметчик 3 артдивизиона|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Доненко|Михаил|Иванович|Красноармеец 37 кавполка|Прик.РВСР № 159|1922 г.|Орден Красного Знамени
Донец|Дмитрий|Агафонович|Фуражир 2 кавполка бригады Котовского|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Донец|Захар|Фомич|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Донец|Митрофан|Лукьянович|Начальник Никольской милиции|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Донец|Михаил|Мануйлович|Начальник команды конных разведчиков Киевской отдельной бригады|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Донских|Алексей||Старшина экспедиционного корпуса|Прик.РВСР № 147|1923 г.|Орден Красного Знамени
Донских|Михаил||Ящичный вожатый 2 легкого артиллерийского дивизиона 2 Приамурской стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Донской|Петр|Михайлович|Комвзвода стр. дивизии 4-ой армии|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Донцов|Василий|Ефремович|Комэскадрона 92 кавполка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Донцов|Константин|Гурьевич|Комроты 5 отд. ц.|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Донцов|Нестор|Павлович|Красноармеец 21 кавполка 4 кавдивизии|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Донцов|Яков|Павлович|Красноармеец 91 кавполка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Донченко|Илья||Комвзвода 103 полка|Прик.РВСР № 105|1924 г.|Орден Красного Знамени
Доныхин|Иван|Иванович|Пулеметчик 15 бронепоезда|Прик.РВСР № 342|1920 г.|Орден Красного Знамени
Доперков|Петр|Петрович|Комотделения 3 кав. Туркестанского полка|Прик.РВСР № 216|1922 г.|Орден Красного Знамени
Дорды|Петр||Красноармеец 6 полка|Прик.РВСР № 100|1924 г.|Орден Красного Знамени
Доренский|Михаил|Иванович|Сотрудник Серг. Самарского завода|Прик.РВСР № 177|1924 г.|Орден Красного Знамени
Дорогов|Иван|Дмитриевич|Комбат 247 стр. полка 8 стр. дивизии|Прик.РВСР № 85|1923 г.|Орден Красного Знамени
Доронин|Степан|Иванович|Комвзвод заград. отряда 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Доронин|Тихон|Михайлович|Красноармеец 2 кав. полка бригады Котовского|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Доронкин|Иван|Максимович|Н-к пулемета 67 стр. полка|Прик.РВСР № 46|1921 г.|Орден Красного Знамени
Дорофеев|Иван|Егорович|Красноармеец 41 кавполка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дорофеев|Павел|Иванович|Отделком 94 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дорохин|Петр|Петрович|Вр. командира 62 кав. полка 11 кавдивизии|Прик.РВСР № 190|1921 г.|Орден Красного Знамени
Дорохов|Александр|Алексеевич|Политрук 90 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дорохов|Архип|Матвеевич|Кавалерист 31 кав. полка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дорохов|Михаил||Н-к пулемета 140 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дорош|Григорий|Васильевич|Начальник команды пеших разведчиков 147 стр. полка|Прик.РВСР № 82|1923 г.|Орден Красного Знамени
Дорошенко|Иван|Михайлович|Начальник пулеметов Заволжского стр. полка|Прик.РВСР № 111|1922 г.|Орден Красного Знамени
Дорошенко|Тимофей|Евграфович|Красноармеец 501 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Досте|Константин|Августович|Командир 6 роты Заволжского стр. полка|Прик.РВСР № 144|1922 г.|Орден Красного Знамени
Дотоль|Федор||Б. комполка 515 стрелкового|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Доценко|Николай|Петрович|Комвзвод 2 Нерчинского стр. полка|Прик.РВСР № 46|1924 г.|Орден Красного Знамени
Драгилев|В.|Г.|Помнаштагруппы Северной|Прик.РВСР № 131|1921 г.|Орден Красного Знамени
Драгункин|Семен|Андреевич|Комроты 82 полка|Прик.РВСР № 378|1920 г.|Орден Красного Знамени
Драгунов|Александр||Помощник машиниста бронепоезда № 60|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Драгунов|Григорий|Иванович|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дрейер|Дмитрий|Рудольфович|Комбат 80 стр. полка|Прик.РВСР № 287|1920 г.|Орден Красного Знамени
Дрейнер|Ефим|Александрович|Военком 24 бригады 8 стр. дивизии|Прик.РВСР № 531|1920 г.|Орден Красного Знамени
Дрейнер|Ефим|Александрович|Военком 24 бригады 8 стр. дивизии|Прик.РВСР № 12|1922 г.|Вторичное награждение
Дремин|Егор|Титович|Красноармеец 236 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дремов|Максим|Евдокимович|Военком 3 эскадрона 66 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дренков|Александр|Дмитриевич|Красноармеец заград. отряда 7 стр. дивизии|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Дрищев|Георгий||Красноармеец бат. особого назначения 18 милиционной бригады|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Дробков|Павел|Филипович|Красноармеец 235 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дрожин|Петр||Красноармеец 140 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дроздецкий|Трофим|Тарасович|Красноармеец 452 стр. полка 51 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дроздов|Александр|Александрович|Пулеметчик 184 полка|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Дроздов|Николай|Иванович|Помкомроты учебно-кадрового полка 22 стр. дивизии|Прик.РВСР № 154|1922 г.|Орден Красного Знамени
Дроздов|Яков|Петрович|Помкомроты 1 стр. полка|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дроздовский|Николай|Николаевич|Комбат 61 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Дройск|Виктор|Сидорович|Красноармеец кавполка 4 стр. дивизии|Прик.РВСР № 41|1921 г.|Орден Красного Знамени
Дронов|Егор|Иванович|Крестьянин Тамбовской губернии Кирсановского уезда. Калужской волости|Прик.РВСР № 174|1923 г.|Орден Красного Знамени
Дронов|Николай|Михайлович|Комполка 1 кавалерийского|Прик.РВСР № 183|1922 г.|Орден Красного Знамени
Дронов|Сергей|Тихонович|Начальник пешей разведки 181 полка|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Друганов|Петр|Антонович|Комиссар бронепоезда «3-й Интернационал»|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Дружинин|Афанасий|Семенович|Отделком 16 стр. полка|Прик.РВСР № 293|1920 г.|Орден Красного Знамени
Дружинин|П.|П.|Начальник команды разведчиков 7 Туркестанского стр. полка|Прик.РВСР № 662|1925 г.|Орден Красного Знамени
Дружнин|Михаил||Курсант 7 стр. дившколы|Прик.РВСР № 166|1923 г.|Орден Красного Знамени
Друпал|Эдмунд||Помкомроты 1 полка ОН 15 армии|Прик.РВСР № 208|1920 г.|Орден Красного Знамени
Друченко|Осип||Красноармеец 145 полка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дручков|Даниил|Васильевич|Комроты учебного полка 11 дивизии|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Друян|Семен|Семенович|Б. начполитотдела 2 кавдивизии|Прик.РВСР № 115|1921 г.|Орден Красного Знамени
Дрыга|В.|Я.|Курсант 5 Петергофских курсов|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дубатовка|Иван|Андреевич|Красноармеец 36 стр. полка|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Дубачев|Василий||Красноармеец 95 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дубейко|Павел||Красноармеец 37 кавполка|Прик.РВСР № 329|1919 г.|Орден Красного Знамени
Дубенко|Иосиф||Командир эскадрона 54 кавполка|Прик.РВСР № 166|1922 г.|Вторичное награждение
Дубенко|Иосиф|Семенович|Комэскадрона 51 кавполка|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Дубенко|Павел||Комроты 209 полка|Прик.РВСР № 420|1920 г.|Орден Красного Знамени
Дубина|А.|В.|Председатель Гом. ГПУ|Прик.РВСР № 254|1922 г.|Орден Красного Знамени
Дубина|Андрей|Данилович|Красноармеец 6 полка|Прик.РВСР № 96|1924 г.|Орден Красного Знамени
Дубинин|Александр|Николаевич|Красноармеец 21 кавполка 4 кавдивизии|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Дубинин|Козьма|Аристархович|Красноармеец штаба бригады 14 отдельной конной|Прик.РВСР № 80|1923 г.|Орден Красного Знамени
Дубинин|Максим|Дмитриевич|Красноармеец 281 стр. полка|Прик.РВСР № 345|1921 г.|Орден Красного Знамени
Дубинин|Петр|Данилович|Красноармеец 96 кавполка|Прик.РВСР № 133|1922 г.|Орден Красного Знамени
Дубинов|С.|Л.|Красноармеец 561 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дубинский|Адам|Генрихович|Начальник экс полка отдела Упвосо УВО|Прик.РВСР № 271|1921 г.|Орден Красного Знамени
Дубинский|Илья|Юдович|Военкомполка 48 червоного казачества|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Дубинский|Леонид|Ефимович|Помкомроты 262 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дубинский|Николай|Пименович|Комиссар саперн. эскадрона Отдельной Заволжской красногусарской бригады|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дубинчик|Сергей|Федорович|Комроты 150 полка|Прик.РВСР № 338|1920 г.|Орден Красного Знамени
Дубков|Василий|Васильевич|Командир 8 роты 63 стр. полка|Прик.РВСР № 154|1920 г.|Орден Красного Знамени
Дубков|Сергей||Отделком 236 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дубов|||Комиссар 113 стр. полка|Прик.РВСР № 32|1920 г.|Орден Красного Знамени
Дубов|Андрей|Николаевич|Помощник начальника команды пеших разведчиков 9 Туркестанского стр. полка|Прик.РВСР № 11|1922 г.|Орден Красного Знамени
Дубовик|Иван|Александрович|Командир взвода 70 стр. полка|Прик.РВСР № 4|1922 г.|Орден Красного Знамени
Дубовицкий|Иван||Комиссар 2 бат. полка 1 особого назначения|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дубовицкий|Николай||Артиллерист бронемашины Гарфорд 53 АБО|Прик.РВСР № 50|1921 г.|Орден Красного Знамени
Дубович|Изот|Григорьевич|Отделком 2 кавполка бригады Котовского|Прик.РВСР № 202|1923 г.|Орден Красного Знамени
Дубовой|Иван|Наумович|Комдив 44 стрелковой|Прик.РВСР № 149|1920 г.|Орден Красного Знамени
Дубовский|Александр||Красноармеец 4 эскадрона 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дубравин|||Комполка|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дубровин|Василий|Иванович|Комвзвода 1 батареи 5 легкого артиллерийского дивизиона 51 стр. дивизии|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дубровский|Александр|Васильевич|Комвзвод 2 роты 3 полка сводной бригады курсантов|Прик.РВСР № 19|1922 г.|Орден Красного Знамени
Дубровчиков|Александр|Павлович|Красноармеец 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
Дубчак|Николай|Васильевич|Помкомзвода 1 кавполка бригады Котовского|Прик.РВСР № 200|1923 г.|Орден Красного Знамени
Дубянский|Валентин||Комбат 2 — 3 Уральского крепостного полка|Прик.РВСР № 225|1920 г.|Орден Красного Знамени
Дубянский|Евгений|Александрович|Командир 2 бат. 92 стр. полка|Прик.РВСР № 154|1920 г.|Орден Красного Знамени
Дугин|Михаил|Иванович|Комвзвода 200 полка|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Дудаладов|Василий|Григорьевич|Помкомроты 299 стр. полка|Прик.РВСР № 80|1921 г.|Орден Красного Знамени
Дударев|Василий|Васильевич|Политрук 13 полка|Прик.РВСР № 94|1923 г.|Орден Красного Знамени
Дударев|Иван|Ильич|Командир 3. ОН Барнаульского эскадрона|Прик.РВСР № 335|1924 г.|Орден Красного Знамени
Дударев|Трофим|Борисович|Комиссар Штаба сводной конной группы|Прик.РВСР № 11|1922 г.|Орден Красного Знамени
Дудин|Иван|Григорьевич|Начальник боевого участка|Прик.РВСР № 481|1920 г.|Орден Красного Знамени
Дудин|Яков|Федулович|Комвзвода 257 полка|Прик.РВСР № 490|1920 г.|Орден Красного Знамени
Дудинский|Антон|Михайлович|Комэскадрона 1-го|Прик.РВСР № 97|1923 г.|Орден Красного Знамени
Дудке|Исаак|Иванович|Красный летчик 20 авио-отряда|Прик.РВСР № 71|1923 г.|Орден Красного Знамени
Дудкин|Алексей|Алексеевич|Красноармеец Заволжского стр. полка|Прик.РВСР № 111|1921 г.|Орден Красного Знамени
Дудкин|Степан|Михайлович|Помком. эскадрона 56 кав. полка|Прик.РВСР № 136|1922 г.|Орден Красного Знамени
Дудко|Степан|Иванович|Политрук эскадрона 36 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дудников|Даниил||Красноармеец кав. эскадрона 218 стр. полка|Прик.РВСР № 76|1920 г.|Орден Красного Знамени
Дудников|Михаил||Пулеметчик 16 дивизии|Прик.РВСР № 353|1921 г.|Орден Красного Знамени
Дудников|Никита|Тимофеевич|Красноармеец 42 кавполка 4 кавдивизии|Прик.РВСР № 84|1923 г.|Орден Красного Знамени
Дудников|Семен||Комвзвода 19 кавполка|Прик.РВСР № 160|1923 г.|Орден Красного Знамени
Дудников|Федор||Красноармеец 202 полка|Прик.РВСР № 478|1920 г.|Орден Красного Знамени
Дукальский|||Сотрудник ВУЧК|Прик.РВСР № 148|1922 г.|Орден Красного Знамени
Дукачев|Владимир|Ильич|Комвзвод 144 стр. полка|Прик.РВСР № 580|1920 г.|Орден Красного Знамени
Дукельский|Владимир|Семенович|Начальник ОО 3 армии|Прик.РВСР № 44|1921 г.|Орден Красного Знамени
Дулькин|Илья|Иванович|Боец Царевского отряда ЧОН|Прик.РВСР № 17|1923 г.|Орден Красного Знамени
Дульцев|Георгий|Павлович|Комвзвод|Прик.РВСР № 66|1922 г.|Орден Красного Знамени
Думенко|Б.|И.|Начдив особой кавалерийской|Прик.РВСР № 26|1919 г.|Орден Красного Знамени
Думинов|Николай|Федорович|Красноармеец 184 полка|Прик.РВСР № 334|1920 г.|Орден Красного Знамени
Думпис|Марк|Францевич|Комбриг 170 — 57 стр. дивизии|Прик.РВСР № 68|1923 г.|Орден Красного Знамени
Думченко|Николай|Иванович|Красноармеец 52 кавполка|Прик.РВСР № 156|1922 г.|Орден Красного Знамени
Дунаев|Василии|Григорьевич|Красноармеец 237 стр. полка|Прик.РВСР № 65|1922 г.|Орден Красного Знамени
Дунаев|Григорий|Яковлевич|Начальник команды конных разведчиков 267 стр. полка|Прик.РВСР № 116|1922 г.|Орден Красного Знамени
